"Category","Key","Url","File"
"HeroBackgrounds","heroes_backgrounds_viscous_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/viscous_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_viscous_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_paradox_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/paradox_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_paradox_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_seven_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/seven_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_seven_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_astro_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/astro_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_astro_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_krill_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/krill_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_krill_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_krill_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/krill_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_krill_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_mcginnis_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/mcginnis_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_mcginnis_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_calico_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/calico_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_calico_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_grey_talon_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/grey_talon_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_grey_talon_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_necro_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/necro_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_necro_bg_webp.webp"
